id,paragraphs
13,later within tower hand otto sends daughter alicent give message grand maester mellos dispatched raven oldtown otto embrace daughter comforting asking rhaenyra suggests alicent might offer condolence grieving king chamber telling wear one mother dress later evening pleasure house street silk daemon host party subordinate gold cloak several crony otto report event viserys small council meeting following morning insisting source claim daemon dubbed baelon heir day celebration 3
14,otto daughter attendance ceremony naming rhaenyra princess dragonstone heir iron throne 3
15,five month later otto attends meeting small council assisted new lord commander kingsguard ser harrold westerling choosing number candidate come court fill vacant seventh slot kingsguard left death ser ryam redwyne lord corlys storm council chamber announcing four westerosi ship lost passing stepstones otto replying crown compensate family crew corlys brings pirate fear westeros daemon occupation dragonstone army gold cloak responded crown otto warns may seat council table king equal princess rhaenyra interjects suggesting use dragonriders take stepstones otto urging viserys order inspect choose prospective replacement ser ryam redwyne instead 4
16,maegor holdfast otto arrives harrold present candidate rhaenyra otto instructs rhaenyra say far interacting otto protest rhaenyra pick ser criston cole vacancy stating politically valuable candidate chosen rhaenyra reject 4
17,otto chamber viserys grand maester mellos attending infected wound king finger iron throne otto informed king corlys princess rhaenys put forward marriage proposal daughter lady laena velaryon asked advise otto state corlys overreached matter put council well laena young mellos acknowledges match would heal wound made great council 101 ac house targaryen house velaryon otto agrees grand maester reasoning brings pain passing wife envy viserys forced remarry duty realm 4
18,otto interrupt private meeting viserys alicent notify king summoned small council council chamber one dragonkeepers informs prince daemon stolen dragon egg one rhaenyra picked prince baelon cradle dragonpit king declares otto assemble detachment guard intends remove daemon dragonstone personally otto insists dangerous viserys go volunteering go place 4
19,later chamber otto putting armor daughter help asks alicent comely girl court hurt hand inquires visiting king tonight ser criston arrives report gathered twenty hand guard ser harrold joining 4
20,dragonstone otto lead detachment along bridge leading castle intercepted daemon gold cloak otto proclaims daemon relinquish control island return stolen dragon egg disband private army banish mysaria side prince daemon asks king otto reply viserys would lower entertain mummer farce telling daemon pathetic desperate older brother attention daemon insists merely following targaryen tradition placing egg cradle unborn child mysaria otto retort back tradition trueborn royalty rather bastard proclaims daemon union mysaria abomination soiling brother reign otto call men city watch present asking wish continue following prince treason daemon responds loyal challenge otto take egg hand otto proclaiming violence king hand would declare war viserys state confrontation could kill daemon unborn child mother daemon draw dark sister prompting rest side draw weapon though otto order men sheathe sword caraxes appears spiral open conflict rhaenyra arrives syrax otto inquires princess order criston escort safety rhaenyra responds stop bloodshed ignores otto objection 4
21,next day otto daughter summoned meeting small council king viserys announces intention marry alicent hightower spring end lord corlys outraged daughter rejected march council chamber otto give satisfied look 4
22,year daughter marriage viserys give birth son aegon targaryen prince aegon second nameday otto join royal hunt arranged viserys otto pressured brother lord hobert hightower convince viserys name aegon heir rhaenyra would place member dynasty iron throne otto express doubt viserys easily convinced ser tyland lannister counsel viserys send aid stepstones otto step reminding daemon lord corlys started war without crown ’ leave would make crown look weak intervene long 5
23,hunting party arrives kingswood otto join gathered lord lady applauding king queen prince emerge carriage 5
24,otto interrupt argument viserys rhaenyra inform king white hart sighted white hart considered symbol royalty otto try convince viserys appearance prince aegon nameday sign god aegon rule 5
25,night otto informs viserys royal huntsman trail white hart sent hound viserys express displeasure lord jason lannister attitude asking rhaenyra hand otto reminds rhaenyra command viserys reply desire command daughter otto make another suggestion rhaenyra could marry half brother prince aegon viserys laugh however aegon two year old 5
26,stag captured otto disappointment white one otto rest party watch viserys struggle put captured animal finally applaud 5
27,later otto rest party watch surprise rhaenyra return camp boar ser criston cole killed 5
28,returning king ’ landing hunt otto visit daughter pointing aegon birth united men ended fifteen year uncertainty doubt tell alicent must convince viserys name aegon heir realm would descend chaos rhaenyra named instead matter good queen may prove alicent unhappy idea raising aegon steal sister birthright 5
29,prince daemon return king landing victorious war stepstones otto watch suspiciously kneel viserys give crown stepstones viserys embrace brother hold feast daemon honor otto attends 2
30,small council meet discus corlys velaryon otto informs king according brother oldtown lord corlys plan marry daughter laena son sealord braavos potential alliance would necessitate crown making marriage pact 2
31,one night otto informed spy working white worm princess rhaenyra prince daemon seen together pleasure house otto decides inform king though great reluctance although would undoubtedly discredit daemon rhaenyra give grandson aegon clearer path throne give pleasure inform king friend daughter losing virginity otto informs viserys king furiously accuses otto daughter stalked trying destroy reputation otto try deny viserys order 2
32,otto later summoned small council chamber viserys king reminds father prince baelon targaryen died five day king jaehaerys named hand king otto took place viserys figured otto set alicent wife aemma passed otto insists alicent love know viserys love viserys thanks otto service realm state judgement compromised dismisses king hand 2
33,otto prepares leave king ’ landing approached alicent tell ’ want leave belief rhaenyra ’ claim innocence tell facilitating dismissal hand responds otto blame due hard pushed aegon heir otto chides naivety present cold logic situation viserys inevitably dy rhaenyra kill alicent child whether want simply ensure survival ensuing conflict alicent therefore two choice either start plotting secure position court rhaenyra fully commit ingratiating stepdaughter hope rhaenyra take throne make merciful enough towards alicent kill half sibling unable express word love want protect otto give sobbing daughter desperate final embrace ride castle 6
34,ten year later death lyonel harwin strong 7 otto reinstated hand king 8
35,family tree
36,quote
37,spoken otto
38,otto made vow seven honor wife marriage
39,daemon well gladly give lady rhea lord hightower want woman warm bed lady wife passed recently perhaps ready move yet
40,— otto daemon targaryen src
41,otto grace last thing u wish discus dark hour consider matter urgent
42,viserys matter
43,otto succession recent tragedy left without obvious heir despite difficult time grace feel important succession firmly place stability realm
44,— otto viserys targaryen src
45,otto one know daemon would king one doubt ambition look gold cloak city watch fiercely loyal army two thousand strong
46,viserys army gave otto named daemon master law said tyrant master coin said spendthrift would beggar realm putting daemon command city watch solution
47,otto half measure grace truth daemon far away court
48,— otto viserys targaryen src
49,viserys please daemon ambition yes throne lack patience
50,otto god yet make man lack patience absolute power grace
51,— otto viserys targaryen src
52,alicent grace
53,otto low sent thought might go offer comfort
54,alicent chamber know say
55,otto stop glad visitor might wear one mother dress
56,— otto alicent hightower src
57,caution lord corlys seat king table make equal
58,―otto corlys velaryon
59,dearly loved lady wife pain passing still haunt compelled replace duty sake king envy
60,―otto viserys targaryen
61,otto truly pathetic show daemon desperate king attention resorted skulking like common cutpurse
62,daemon simply keeping tradition house brother heir
63,otto tradition trueborn child royalty bastard fathered common whore
64,daemon lady mysaria wife
65,otto abomination every breath dishonor name house brother reign
66,— otto daemon src
67,hobert aegon second nameday infancy behind remains viserys name heir throne
68,otto sure
69,hobert king firstborn son
70,otto know grace see clearly
71,hobert lie make see lord hand
72,— otto hobert hightower src
73,otto another choice beyond casterly rock one perhaps might comfortable one closer home
74,viserys mind
75,otto prince aegon
76,viserys boy turned two otto
77,otto yes would cease endless proposal rhaenyra hand betroth
78,viserys came hunt suffocated fucking politicking
79,— otto viserys targaryen src
80,otto matter jaehaerys born rhaenyra woman
81,alicent son would raise man steal sister birthright
82,otto aegon robbed firstborn son king deny heir throne assail law god men road ahead uncertain end clear aegon king must guide viserys towards reason never find
83,— otto alicent hightower src
84,otto loyal hand must tell king discomforting truth time time grace failed servant
85,viserys faithful servant otto crown realm owe debt never repaid longer trust judgment
86,— otto viserys targaryen src
87,stale oath put iron throne princess succession changed day father sired son regret last see truth
88,―otto rhaenyra targaryen
89,spoken otto
90,daemon ever spoken truth see otto hightower
91,viserys unwavering loyal hand
92,daemon cunt second son stand inherit nothing seize
93,viserys otto hightower honorable man could ever
94,— daemon viserys targaryen src
95,think cunning man design obvious wish blood iron throne badly willing destroy mine
96,―viserys targaryen
97,rhaenyra vulture perch upon throne
98,viserys vulture
99,rhaenyra hand
100,viserys otto hightower served two king loyally faithfully
101,rhaenyra want aegon named heir stop nothing see done including spying bring ruin speak conqueror vision need strength unity across realm accomplished trusted advisor self interested
102,— rhaenyra viserys targaryen src
103,served grandsire nobly final day man taught king five day went another man jaehaerys court second powerful man realm wonder long take choose king
104,―viserys targaryen
105,matter fat leech grows always want another meal
106,―daemon targaryen
107,hand aegon king fucking traitor
108,―rhaenyra targaryen
109,behind scene
110,february 11 2021 hbo announced rhys ifans signed house dragon role otto hightower character breakdown read follows
111,hand king ser otto loyally faithfully serf king realm hand see greatest threat realm king brother daemon position heir throne
112,―hbo
113,book
114,fire blood ser otto famous knowledge ability named hand king served hand king jaehaerys viserys hand continuously intellect made arrogant also cautious methodical
115,otto head house hightower younger brother unnamed head family otto wife never mentioned book absence several major scene court seems imply dead time otto multiple child one identified alicent youngest brother gwayne indication fire blood otto actually good relationship family loved loved child
116,otto first served hand death jaehaerys hand son prince baelon targaryen jaehaerys devastated death son loss beloved wife alysanne year earlier resolving succession crisis caused baelon death great council 101 ac jaehaerys health rapidly failed spent next two year largely bedridden otto effectively ruled kingdom hand final two year jaehaerys reign daughter alicent hightower nursed ailing king
117,109 ac viserys dismissed otto office otto kept bothering inheritance issue spying rhaenyra lord lyonel strong replaced otto king hand
118,120 ac following death lyonel harwin harrenhal viserys reinstated otto hand
119,appearance
120,history lore – dance dragon illustrated
121,– heir dragon
122,– rogue prince
123,– second name
124,– king narrow sea
125,– light way
126,– princess queen mentioned
127,– driftmark
128,– lord tide
129,– green council
130,– black queen
131,reference
132,↑ house dragon official website hbo series hbo com
133,↑ 2 0 2 1 2 2 2 3 2 4 house dragon season 1 episode 4 king narrow sea
134,↑ 3 0 3 1 3 2 3 3 3 4 3 5 3 6 house dragon season 1 episode 1 heir dragon
135,↑ 4 0 4 1 4 2 4 3 4 4 4 5 4 6 house dragon season 1 episode 2 rogue prince
136,↑ 5 0 5 1 5 2 5 3 5 4 5 5 5 6 house dragon season 1 episode 3 second name
137,↑ house dragon season 1 episode 5 light way
138,↑ house dragon season 1 episode 6 princess queen
139,↑ house dragon season 1 episode 7 driftmark
140,external link
141,otto hightower wiki ice fire major spoiler house dragon sea snake redirects us see sea snake disambiguation
142,ascended driftwood throne knew wanted went seized
143,―corlys velaryon
144,lord corlys velaryon n 1 known sea snake head house velaryon husband princess rhaenys targaryen
145,biography
146,background
147,corlys lord tide master driftmark head house velaryon married rhaenys targaryen cousin viserys targaryen 1 two child rhaenys named laena laenor
148,corlys head royal fleet sits small council lord admiral master ship 2 moniker derived sea snake famous ship velaryon fleet 3
149,house dragon season 1
150,meeting small council corlys urge action triarchy alliance formed free city according assessment would gravely affect westerosi port concern dismissed viserys targaryen hand ser otto hightower 4
151,corlys present heir tournament wife rhaenys two child laena laenor 4
152,corlys attends funeral queen aemma prince baelon 4
153,day funeral small council chamber matter succession iron throne brought otto hightower corlys support daemon targaryen claim iron throne due male preference primogeniture otto suggests rhaenyra instead corlys offer alternative wife rhaenys stating valid claim throne male heir matter discussed viserys furiously berates small council squabbling still mourning abruptly end meeting 4
154,corlys amongst several lord westeros summoned king landing swear fealty viserys named heir rhaenyra targaryen named princess dragonstone 4
155,roughly six month aemma arryn funeral corlys reiterates problem triarchy sunk four westerosi ship including one velaryon fleet gaining power stepstones demand take action triarchy clear stepstones viserys explains alternative sent envoy pentos volantis prospect alliance triarchy corlys warns inaction strengthen belief viserys extension westeros weak began daemon illegal occupation dragonstone answered 5
156,corlys rhaenys later try forge marriage alliance house targaryen house velaryon suggesting viserys marry daughter laena velaryon uniting targaryen dragon velaryon fleet prove strength reign though several member small council support idea viserys laena union due several political advantage viserys opts marry lady alicent hightower corlys infuriated yet another slight family targaryens leaf king landing resigns position master ship return driftmark proposition daemon targaryen join family war stepstones claim glory 5
157,three year later corlys daemon appear losing war long hard siege bloodstone several member army contemplating defecting however viserys offer aid daemon effort velaryons stepstones counterattack devised corlys force led corlys daemon supported dragonback seasmoke ridden corlys son ser laenor velaryon force prevail daemon slays craghas drahar preventing ruin house velaryon 6 corlys army crown daemon king narrow sea return driftmark 7
158,back driftmark corlys arranges betrothal laena son sealord braavos small council worried alliance velaryons braavos issue solved another betrothal laenor velaryon rhaenyra targaryen 7
159,time later viserys rhaenyra sail driftmark discus prospective marriage alliance rhaenyra laenor corlys rhaenys inquire matter succession iron throne viserys affirms rhaenyra laenor firstborn inherit iron throne regardless gender corlys asks whether child shall take velaryon name viserys reply upon heir ascension iron throne king queen take name targaryen dynasty dragon may continue corlys rhaenys accept union 8
160,corlys family head king landing laenor rhaenyra wedding viserys make impassioned speech union two remaining powerful valyrian house becoming one though festivity start well feast interrupted ser criston cole murder one house velaryon sworn sword ser joffrey lonmouth following attack laenor rhaenyra wed private grim ceremony immediate family aide attendance 8
161,roughly ten year later corlys velaryon family learn corlys daughter laena died pentos remains returned high tide funeral held extended targaryen velaryon family present laena burial corlys speaks grandson lucerys velaryon succession driftmark lord tide surprised learn wish lord driftmark mean corlys father ser laenor dead corlys later witness catatonic laenor weeping water laena buried angrily tell ser qarl correy retrieve 9
162,later night corlys rhaenys discussion surrounding laena death rhaenys place blame death daemon surgeon pentos corlys tell place blame act god rhaenys contemplates whether punishment namely corlys relentless ambition power though corlys attempt argue favor rhaenys affirms longer ambition iron throne ambition power destroying family piece piece rhaenys proposition corlys name baela targaryen eldest granddaughter laena heir driftmark ground baela true velaryon blood whereas lucerys—corlys chosen heir—is corlys however refuse ground would admitting laenor child bastard disinheriting line corlys unconcerned truth stating history remember blood remembers name 9
163,corlys rhaenys later enter hall nine night demand answer following fight grandchild aemond targaryen resulted lucerys slashing aemond left eye next night laenor apparently murdered duel ser qarl hall nine grieve son finding charred corpse actuality laenor still alive exile essos following plot fake death orchestrated rhaenyra targaryen daemon targaryen laenor 9 overcome anger grief lost child due relentless ambition corlys leaf driftmark return fighting stepstones triarchy becomes resurgent 10
164,six year fighting stepstones corlys severely injured ambush reportedly throat slashed corsair falling sea due uncertainty surrounding longevity dispute question succeed brother vaemond lucerys intended chosen heir lucerys confirmed heir king viserys rhaenys rhaenyra proposal betroths corlys grandchild lucerys rhaena targaryen well jacaerys velaryon baela targaryen viserys blessing soon corlys brother vaemond executed daemon targaryen insulting wife rhaenyra family 10
165,alicent attempt gain rhaenys support green prince aegon targaryen claim iron throne claiming even corlys abandoned gone six year fight desperate battle returned badly injured leaving rhaenys chart course alone attempt futile rhaenys respect corlys wish affirms allegiance princess rhaenyra black 11
166,personality
167,corlys shrewd man despite several disagreement king viserys remains loyal crown 12 although highly value legacy 9 place blood power 12
168,family tree
169,quote
170,spoken corlys
171,elude storm either sail around must never await coming
172,―corlys velaryon
173,crown fool great council plucked head terrible thing husband wish win back
174,―corlys velaryon rhaenys
175,brief mortal life pursuit legacy
176,―corlys velaryon
177,history remember blood remembers name
178,―corlys velaryon
179,hope fool ally
180,―corlys velaryon
181,spoken corlys
182,viserys ever since name read archmaesters great council felt corlys velaryon envious gaze staring across blackwater
183,lyonel sit upon highest seat realm grace proud men like look
184,— viserys targaryen lyonel strong src
185,fear nothing short direct line iron throne would satisfy
186,―lyonel strong corlys
187,sea snake proud man sure grace
188,―mellos viserys corlys
189,legacy may live life corlys
190,―rhaenys corlys ambition
191,behind scene
192,corlys velaryon revealed lead character house dragon december 11 2020 february 11 2021 hbo announced steve toussaint signed series character breakdown read follows
193,lord house velaryon valyrian bloodline old house targaryen sea snake famed nautical adventurer history westeros lord corlys built house powerful seat even richer lannisters claim largest navy world
194,―hbo
195,interview entertainment weekly showrunner ryan condal addressed decision reimagine house velaryon black revealing fact george r r martin idea character originally envisioned earlier draft song ice fire 13
196,book
197,fire blood corlys son corwyn velaryon named ser corlys velaryon first lord commander kingsguard corlys sailed ice wolf beyond wall unsuccessful finding northerly route around westeros sailed aboard sea snake multiple voyage essos accumulating wealth visit qarth yi ti leng corlys first westerosi visit nefer n ghai navigate thousand island last travel corlys filled sea snake hold gold bought twenty ship qarth loading spice elephant silk corlys took sobriquet famous ship expedition described maester mathis nine voyage
198,corlys became head house velaryon death grandsire daemon richer lord lannister hightower expedition corlys used great wealth construct new seat high tide stored eastern treasure
199,corlys vacated seat small council following viserys coronation response perceived insult rhaenys passed throne house velaryon whole remains isolated royal court preferring solitude driftmark tv series altered somewhat depicting velaryons prominent fixture court retaining corlys outspoken bitterness realm rejection wife eventually left royal court viserys chose marry alicent hightower instead laena velaryon
200,appearance
201,history lore – dance dragon illustrated
202,– heir dragon
203,– rogue prince
204,– second name
205,– king narrow sea mentioned
206,– light way
207,– princess queen mentioned
208,– driftmark
209,– lord tide mentioned
210,– green council mentioned
211,– black queen
212,reference
213,↑ house dragon official website hbo series hbo com
214,↑ file dance illustrated history george r r martin house dragon hbo
215,↑ game throne house dragon inside creation targaryen dynasty princess queen
216,↑ 4 0 4 1 4 2 4 3 4 4 house dragon season 1 episode 1 heir dragon
217,↑ 5 0 5 1 house dragon season 1 episode 2 rogue prince
218,↑ house dragon season 1 episode 3 second name
219,↑ 7 0 7 1 house dragon season 1 episode 4 king narrow sea
220,↑ 8 0 8 1 house dragon season 1 episode 5 light way
221,↑ 9 0 9 1 9 2 9 3 house dragon season 1 episode 7 driftmark
222,↑ 10 0 10 1 house dragon season 1 episode 8 lord tide
223,↑ house dragon season 1 episode 9 green council
224,↑ 12 0 12 1 http www hbo com house dragon character guide corlys velaryon
225,↑ http ew com tv house dragon cover story game throne enters new age
226,note
227,↑ high valyrian korlys velarion
228,external link
229,corlys velaryon wiki ice fire major spoiler house dragon queen create new order
230,―rhaenyra targaryen rhaenys targaryen
231,queen rhaenyra targaryen n 2 daughter surviving child king viserys targaryen first wife queen aemma arryn dispute claim younger half brother aegon ii using style queen andals rhoynar first men lady seven kingdom protector realm dragonrider mount dragon syrax
232,biography
233,background
234,rhaenyra daughter surviving child king viserys aemma arryn 4 ride dragon syrax 5
235,house dragon season 1
236,rhaenyra return king landing riding syrax visit mother aemma heavily pregnant rhaenyra enthused prospect child mother reminds duty princess childbed royal woman battlefield rhaenyra later greets uncle daemon throne room present gift acquired recent journey necklace made valyrian steel 5
237,later evening rhaenyra friend lady alicent hightower spend time godswood rhaenyra hope unborn sibling boy sake father viserys happiness ignoring alicent remark son would overshadow line succession 5
238,rhaenyra present royal box father commences heir tournament announces aemma gone labor rhaenyra alicent intrigued new contender tournament ser criston cole victory lord boremund baratheon another baratheon rhaenyra witness duel ser criston uncle prince daemon criston emerges victorious asks rhaenyra favor toss floral wreath bid criston good luck rest tournament middle tournament spectator royal box informed queen aemma death childbirth 5
239,several day later royal court gather outside city wall king landing funeral rhaenyra mother aemma infant brother prince baelon rhaenyra bitterly ponders uncle daemon whether father finally found happiness hour baelon lived lament never make father truly happy son set mother brother funeral pyre ablaze command dracarys syrax 5
240,viserys disinherits daemon summons rhaenyra balerion shrine confusion due viserys recent lack contact viserys voice intention name rhaenyra heir informs aegon conqueror vision dubbed song ice fire every legitimate heir iron throne informed ensure westeros readiness evil aegon foresaw time later realm nobility swears fealty viserys rhaenyra rhaenyra officially named princess dragonstone 5
241,six month mother funeral rhaenyra speaks small council meeting voice opinion handle situation stepstones suggesting dragonriders sent force triarchy surrender instead taking advice viserys task filling vacant spot kingsguard ser ryam redwyne death ignoring advice otto hightower choose knight would earn strong alliance selects ser criston cole due knight considered seen actual combat rather tourney fighting 6
242,later day rhaenyra visit sept alicent vent frustration small council plotting replace heir two pray mother alicent teaching rhaenyra— worship seven—how rhaenyra tearfully express wish viserys see little girl 6
243,night rhaenyra viserys share awkward dinner discus appointment ser criston cole kingsguard briefly bond shared love aemma try apologize speaking small council earlier dismisses stating young learn propriety time 6
244,rhaenyra cousin princess rhaenys targaryen discus rhaenyra succession iron throne possibility displacement heir iron throne due sex rhaenys bluntly telling rhaenyra men westeros would sooner put realm torch allow woman ascend iron throne 6
245,small council viserys rhaenyra get word dragonkeeper elder daemon stolen dragon egg dragonpit namely one rhaenyra picked brother baelon despite given leave go dragonstone rhaenyra fly atop syrax persuade daemon relinquish dragon egg leave castle succeeds getting dragon egg back without bloodshed fails get daemon leave dragonstone rhaenyra return king landing viserys angrily chides leaving endangering though credit person able retrieve egg without bloodshed viserys insists rhaenyra heir targaryen line vulnerable though insists unname rhaenyra heir even new wife give son must ensure continuation targaryen line 6
246,small council meeting next morning viserys announces intention marry lady alicent hightower infuriates disgust rhaenyra hurt father friend keeping 6
247,three year later rhaenyra relationship father alicent queen seven kingdom soured disinclined listen either attends royal hunt family celebrate second nameday half brother prince aegon targaryen camp proposed lord jason lannister decline get terse confrontation father realizing intends marry one nobleman westeros causing run kingswood ser criston cole go contemplates whether realm actually accept queen 1
248,agreeing get married perpetuate targaryen line go tour westeros pick lord choosing wed however cut progress short storm end rhaenyra reunites uncle daemon four year take street silk late night witness true nature king landing smallfolk opinion position society rhaenyra daemon go brothel rhaenyra witness pleasure sex daemon proceed couple together daemon rendered impotent leaf brothel rhaenyra still sexually aroused seduces ser criston cole loses virginity 7
249,rhaenyra daemon seen together lyseni boy brings word mysaria mysaria order boy inform otto hightower turn brings news rhaenyra father viserys alicent overheard conversation viserys otto confronts rhaenyra vehemently denies allegation daemon viserys confronts rhaenyra avoid scandal order rhaenyra wed ser laenor velaryon reluctantly agrees condition viserys dismisses otto hand night grand maester mellos viserys behest give rhaenyra moon tea precaution 7
250,rhaenyra travel father driftmark discus marriage alliance laenor two walk nearby beach rhaenyra express aware two love people enthusiastic marriage pact proposes mutual arrangement perform duty respective family marry produce heir otherwise continue private romantic relationship later viserys ship head back king landing rhaenyra approached criston deck tell know love laenor year talked fear trapped loveless arranged marriage instead pleads flee exile beyond westeros married rhaenyra insists duty family realm keep eloping however consider problem worked understanding laenor criston becomes agitated rhaenyra whore hoping could restore lost honor marrying rhaenyra begin explain impossible criston storm 8
251,game throne season 3
252,joffrey refers rhaenyra giving margaery tour great sept baelor 9
253,personality
254,rhaenyra strong willed independent 10 rhaenyra reject idea lady interested flying top dragon syrax adventure choosing destiny 5 youth rhaenyra love friend alicent long series small rejection alicent culminating marriage viserys made rhaenyra increasingly insecure fueling division jealousy 11 disputed see talk page
255,family tree
256,1 jaehaerys thirteen child simplicity direct ancestor future generation family tree exact order birth thirteen child correct order aegon daenerys aemon baelon alyssa maegelle vaegon daella saera viserra gaemon valerion gael
257,2 jacaerys lucerys joffrey officially laenor rhaenyra never biological issue three son fact fathered harwin strong
258,quote
259,spoken rhaenyra
260,thing could tear house dragon
261,―rhaenyra targaryen
262,aemma lie bed soon enough rhaenyra discomfort serve realm
263,rhaenyra rather serve knight ride battle glory
264,— aemma rhaenyra src
265,alicent want son
266,rhaenyra want fly dragonback see great wonder across narrow sea eat cake
267,alicent serious
268,rhaenyra never jest cake
269,alicent worried position
270,rhaenyra like position quite comfortable
271,— alicent rhaenyra src
272,everyone say targaryens closer god men say dragon without like everyone else
273,―rhaenyra targaryen
274,right uncle object ire reason disinherited wish restored heir need kill done bother
275,―rhaenyra daemon
276,viserys went dragonstone
277,rhaenyra retrieved egg without bloodshed feat sure ser otto could accomplished alone
278,— viserys rhaenyra src
279,joselyn crown war princess though father refuse admit dragged uncle sea snake
280,rhaenyra served realm late lady redwyne eating cake
281,— joselyn redwyne rhaenyra src
282,criston essos could marry marriage love crown
283,rhaenyra crown ser criston may chafe duty think would choose infamy exchange bushel orange ship asshai
284,— criston rhaenyra src
285,jace harwin strong father bastard
286,rhaenyra targaryen matter
287,— jace rhaenyra src
288,performed duty best could avail joy found elsewhere felt good desired
289,―rhaenyra targaryen
290,exhausting hiding beneath cloak righteousness see
291,―rhaenyra alicent
292,fire strange power everything house targaryen posse owed yet cost u loved
293,―rhaenyra targaryen
294,tyrant rule terror
295,―rhaenyra targaryen
296,song ice fire believe true told duty hold realm united common foe naming heir divided realm thought wanted burden heavy one heavy wish bear defend child
297,―rhaenyra viserys
298,spoken rhaenyra
299,always like worried disagreeable
300,―alicent hightower
301,order stability concern council perhaps break 100 year naming girl heir
302,―lyonel strong
303,sorry rhaenyra wasted year since born wanting son best mother believe know could great ruling queen
304,―viserys targaryen
305,time would rather face black dread mine daughter fifteen
306,―viserys targaryen
307,whether daughter someone else father remarry sooner late new wife produce new heir chance better one male boy come age father passed men realm expect heir order thing
308,―rhaenys targaryen
309,one day long ago held enough power write name white book father named kingsguard highest honor cole ever known owe hardly call toothless princess
310,―criston cole
311,decide name rhaenyra heir whim lord kingdom would well remember
312,―viserys targaryen
313,truly great targaryen king powerless mine daughter seven ten
314,―viserys targaryen
315,thought rhaenyra way abyss grief regret naming heir would begin set thing right never imagined would remarry would son wrong
316,―viserys targaryen
317,alicent rhaenyra good queen
318,otto matter jaehaerys born rhaenyra woman
319,— alicent otto hightower src
320,willem chosen match princess day shall easy night safe protection
321,jerrel protection princess dragon dumb cunt
322,— willem blackwood jerrel bracken src
323,theatre player rhaenyra realm delight girl young slight loved people would make powerful queen would feeble
324,crowd feeble
325,— pantomime street silk src
326,wed offered crown said could anything want rhaenyra take wed tradition house
327,―daemon targaryen
328,rhaenyra succession challenged knife come husband heir
329,―rhaenys targaryen
330,princess rhaenyra brazen relentless spider sting suck prey dry spoiled cunt
331,―criston cole
332,done expected forever upholding kingdom family law flout please duty sacrifice trampled pretty foot take son eye even feel entitled
333,―alicent hightower
334,deserve better deserve husband
335,―laenor velaryon
336,strong queen must cultivate love respect yes subject must fear
337,―daemon targaryen
338,child bastard whore
339,―vaemond velaryon
340,mother love child common sometimes allow raise cup house make fine queen
341,―alicent hightower
342,prince promised prince unite realm cold dark one must
343,―viserys alicent mistaking rhaenyra
344,behind scene
345,rhaenyra targaryen revealed lead character house dragon july 18 2020 december 11 2020 hbo announced emma arcy signed series character breakdown read follows
346,king first born child pure valyrian blood dragonrider many would say rhaenyra born everything… born man
347,―hbo
348,july 6 2021 reported milly alcock set portray young rhaenyra
349,book
350,fire blood rhaenyra daughter king viserys child survive cradle wife aemma house arryn viserys younger brother daemon closest male heir many court felt unruly unfit sit throne viserys officially named rhaenyra heir decision controversial contradicted principle male preference proximity put viserys throne instead older first cousin rhaenys targaryen according primogeniture heir
