id,paragraphs,words,word_count
113,As Viserys point Otto near end episode book tried giving Daemon royal office keep occupied trouble resulting brief stint Daemon served Master Laws Master Coin hated made commander City Watch .,"['As', 'Viserys', 'point', 'Otto', 'near', 'end', 'episode', 'book', 'tried', 'giving', 'Daemon', 'royal', 'office', 'keep', 'occupied', 'trouble', 'resulting', 'brief', 'stint', 'Daemon', 'served', 'Master', 'Laws', 'Master', 'Coin', 'hated', 'made', 'commander', 'City', 'Watch', '.']",31
114,Daemon created modern City Watch book gave eponymous gold cloak standard uniform . His brutal crackdown crime city played several month book condensed one major raid TV episode still quite accurate book noted Daemon enthusiastically cut hand thief castrated raper .,"['Daemon', 'created', 'modern', 'City', 'Watch', 'book', 'gave', 'eponymous', 'gold', 'cloak', 'standard', 'uniform', '.', 'His', 'brutal', 'crackdown', 'crime', 'city', 'played', 'several', 'month', 'book', 'condensed', 'one', 'major', 'raid', 'TV', 'episode', 'still', 'quite', 'accurate', 'book', 'noted', 'Daemon', 'enthusiastically', 'cut', 'hand', 'thief', 'castrated', 'raper', '.']",41
115,Daemon refers wife Rhea Royce bronze bitch quip Vale men sex sheep prettier woman remark quote book . Daemon call Rhea bronze bitch House Royce famous ancestral bronze armor .,"['Daemon', 'refers', 'wife', 'Rhea', 'Royce', 'bronze', 'bitch', 'quip', 'Vale', 'men', 'sex', 'sheep', 'prettier', 'woman', 'remark', 'quote', 'book', '.', 'Daemon', 'call', 'Rhea', 'bronze', 'bitch', 'House', 'Royce', 'famous', 'ancestral', 'bronze', 'armor', '.']",30
116,As meeting end Viserys remark maybe strict order imposed new City Watch good thing city falling chaos ever since grandmother died . In book Queen Alysanne Targaryen died two year Great Council Harrenhal death left Jaehaerys shell man . Compounded sudden death son Viserys father Baelon Jaehaerys lived remaining two year reign feeble bedridden . Thus since Alysanne death royal administration city fallen state disrepair .,"['As', 'meeting', 'end', 'Viserys', 'remark', 'maybe', 'strict', 'order', 'imposed', 'new', 'City', 'Watch', 'good', 'thing', 'city', 'falling', 'chaos', 'ever', 'since', 'grandmother', 'died', '.', 'In', 'book', 'Queen', 'Alysanne', 'Targaryen', 'died', 'two', 'year', 'Great', 'Council', 'Harrenhal', 'death', 'left', 'Jaehaerys', 'shell', 'man', '.', 'Compounded', 'sudden', 'death', 'son', 'Viserys', 'father', 'Baelon', 'Jaehaerys', 'lived', 'remaining', 'two', 'year', 'reign', 'feeble', 'bedridden', '.', 'Thus', 'since', 'Alysanne', 'death', 'royal', 'administration', 'city', 'fallen', 'state', 'disrepair', '.']",66
119,Not much information given House Hightower family tree book thus TV series expanded several point,"['Not', 'much', 'information', 'given', 'House', 'Hightower', 'family', 'tree', 'book', 'thus', 'TV', 'series', 'expanded', 'several', 'point']",15
120,No mention ever made Alicent mother neither name birth family even alive dead . The fact never appears narrative imply dead . The TV version confirmed Alicent sympathize Rhaenyra loses mother .,"['No', 'mention', 'ever', 'made', 'Alicent', 'mother', 'neither', 'name', 'birth', 'family', 'even', 'alive', 'dead', '.', 'The', 'fact', 'never', 'appears', 'narrative', 'imply', 'dead', '.', 'The', 'TV', 'version', 'confirmed', 'Alicent', 'sympathize', 'Rhaenyra', 'loses', 'mother', '.']",32
121,Otto older brother current Lord Hightower beginning Viserys reign unnamed book . The TV series assigned name Hobert Hightower name minor Hightower cousin story .,"['Otto', 'older', 'brother', 'current', 'Lord', 'Hightower', 'beginning', 'Viserys', 'reign', 'unnamed', 'book', '.', 'The', 'TV', 'series', 'assigned', 'name', 'Hobert', 'Hightower', 'name', 'minor', 'Hightower', 'cousin', 'story', '.']",25
122,Gwayne Hightower said youngest Alicent brother book . However information given birth order information brother youngest brother mean older younger Alicent . The TV series condensed make Gwayne eldest Alicent brother still implies one .,"['Gwayne', 'Hightower', 'said', 'youngest', 'Alicent', 'brother', 'book', '.', 'However', 'information', 'given', 'birth', 'order', 'information', 'brother', 'youngest', 'brother', 'mean', 'older', 'younger', 'Alicent', '.', 'The', 'TV', 'series', 'condensed', 'make', 'Gwayne', 'eldest', 'Alicent', 'brother', 'still', 'implies', 'one', '.']",35
124,The Heir Tournament scene condenses together several different tournament scene happened book . It mostly based tourney held celebrate Viserys I ascension throne held 104 AC year became king year Aemma died book . Criston Cole defeated challenger even unhorsing Daemon defeating single combat thus earning place Kingsguard soon new spot opened . The tourney timed occur exactly Viserys son Baelon born following year . Seven year later infamous black green tournament Criston Cole also unhorsed Gwayne Hightower . Here Gwayne unhorsed Daemon using dirty move intentionally striking horse .,"['The', 'Heir', 'Tournament', 'scene', 'condenses', 'together', 'several', 'different', 'tournament', 'scene', 'happened', 'book', '.', 'It', 'mostly', 'based', 'tourney', 'held', 'celebrate', 'Viserys', 'I', 'ascension', 'throne', 'held', '104', 'AC', 'year', 'became', 'king', 'year', 'Aemma', 'died', 'book', '.', 'Criston', 'Cole', 'defeated', 'challenger', 'even', 'unhorsing', 'Daemon', 'defeating', 'single', 'combat', 'thus', 'earning', 'place', 'Kingsguard', 'soon', 'new', 'spot', 'opened', '.', 'The', 'tourney', 'timed', 'occur', 'exactly', 'Viserys', 'son', 'Baelon', 'born', 'following', 'year', '.', 'Seven', 'year', 'later', 'infamous', 'black', 'green', 'tournament', 'Criston', 'Cole', 'also', 'unhorsed', 'Gwayne', 'Hightower', '.', 'Here', 'Gwayne', 'unhorsed', 'Daemon', 'using', 'dirty', 'move', 'intentionally', 'striking', 'horse', '.']",90
125,Lead horse wrangler Camilla Naprous Game Thrones returned work House Dragon . She explained team used 30 horse tournament sequence . 3,"['Lead', 'horse', 'wrangler', 'Camilla', 'Naprous', 'Game', 'Thrones', 'returned', 'work', 'House', 'Dragon', '.', 'She', 'explained', 'team', 'used', '30', 'horse', 'tournament', 'sequence', '.', '3']",22
126,The tournament stadium King Landing mostly exists CGI extension finished screen version designed fit 1 000 people though 150 extra actually present set spaced due COVID filming restriction . They digitally copied populate entire CGI stadium . 3,"['The', 'tournament', 'stadium', 'King', 'Landing', 'mostly', 'exists', 'CGI', 'extension', 'finished', 'screen', 'version', 'designed', 'fit', '1', '000', 'people', 'though', '150', 'extra', 'actually', 'present', 'set', 'spaced', 'due', 'COVID', 'filming', 'restriction', '.', 'They', 'digitally', 'copied', 'populate', 'entire', 'CGI', 'stadium', '.', '3']",38
127,The armor knight wear tournament designed intentionally extravagant impractical highlight much age decadence opulence major war living memory . For example dragon wing Daemon helmet tower turret Gwayne Hightower head would blatantly catch sword blow functional armor meant deflect incoming blow . Sapochnik We often talked idea jousting tournament wearing crazy armor literally work protect really anymore . 8 Costume designer Jany Temime said drew inspiration variety place design element oriental armor Persian armor Greek armor . 3,"['The', 'armor', 'knight', 'wear', 'tournament', 'designed', 'intentionally', 'extravagant', 'impractical', 'highlight', 'much', 'age', 'decadence', 'opulence', 'major', 'war', 'living', 'memory', '.', 'For', 'example', 'dragon', 'wing', 'Daemon', 'helmet', 'tower', 'turret', 'Gwayne', 'Hightower', 'head', 'would', 'blatantly', 'catch', 'sword', 'blow', 'functional', 'armor', 'meant', 'deflect', 'incoming', 'blow', '.', 'Sapochnik', 'We', 'often', 'talked', 'idea', 'jousting', 'tournament', 'wearing', 'crazy', 'armor', 'literally', 'work', 'protect', 'really', 'anymore', '.', '8', 'Costume', 'designer', 'Jany', 'Temime', 'said', 'drew', 'inspiration', 'variety', 'place', 'design', 'element', 'oriental', 'armor', 'Persian', 'armor', 'Greek', 'armor', '.', '3']",78
128,Daemon Targaryen tournament armor sophisticated design took 16 week get shape 8 10 week manufacture made team 10 12 people . The dragon helmet went seven eight incarnation final one . There even dragon earlier version . A key feature Temime wanted keep iteration ruby eye dragon atop helmet always pointed forward directly staring whoever Daemon facing . 3,"['Daemon', 'Targaryen', 'tournament', 'armor', 'sophisticated', 'design', 'took', '16', 'week', 'get', 'shape', '8', '10', 'week', 'manufacture', 'made', 'team', '10', '12', 'people', '.', 'The', 'dragon', 'helmet', 'went', 'seven', 'eight', 'incarnation', 'final', 'one', '.', 'There', 'even', 'dragon', 'earlier', 'version', '.', 'A', 'key', 'feature', 'Temime', 'wanted', 'keep', 'iteration', 'ruby', 'eye', 'dragon', 'atop', 'helmet', 'always', 'pointed', 'forward', 'directly', 'staring', 'whoever', 'Daemon', 'facing', '.', '3']",59
129,The weapon Criston Cole wields consistently referred morningstar book though inaccurate . In real life solid spiked club called morningstar iron ball attached stick chain called flail regardless whether ball end chain spiked . In Westeros however officially called morningstar Martin consistently call .,"['The', 'weapon', 'Criston', 'Cole', 'wields', 'consistently', 'referred', 'morningstar', 'book', 'though', 'inaccurate', '.', 'In', 'real', 'life', 'solid', 'spiked', 'club', 'called', 'morningstar', 'iron', 'ball', 'attached', 'stick', 'chain', 'called', 'flail', 'regardless', 'whether', 'ball', 'end', 'chain', 'spiked', '.', 'In', 'Westeros', 'however', 'officially', 'called', 'morningstar', 'Martin', 'consistently', 'call', '.']",44
131,House Darklyn actually extinct time Game Thrones rebellion known Defiance Duskendale Daenerys father Mad King executed .,"['House', 'Darklyn', 'actually', 'extinct', 'time', 'Game', 'Thrones', 'rebellion', 'known', 'Defiance', 'Duskendale', 'Daenerys', 'father', 'Mad', 'King', 'executed', '.']",17
132,The costume worn tourney attendant musician announcer feature Targaryen sigil color reversed black dragon red background . This unintentionally recreates heraldry House Blackfyre younger branch House Targaryen fight series civil war main branch . The first Blackfyre Rebellion however fought 90 year event episode current time reversed color scheme sigil meaning associated .,"['The', 'costume', 'worn', 'tourney', 'attendant', 'musician', 'announcer', 'feature', 'Targaryen', 'sigil', 'color', 'reversed', 'black', 'dragon', 'red', 'background', '.', 'This', 'unintentionally', 'recreates', 'heraldry', 'House', 'Blackfyre', 'younger', 'branch', 'House', 'Targaryen', 'fight', 'series', 'civil', 'war', 'main', 'branch', '.', 'The', 'first', 'Blackfyre', 'Rebellion', 'however', 'fought', '90', 'year', 'event', 'episode', 'current', 'time', 'reversed', 'color', 'scheme', 'sigil', 'meaning', 'associated', '.']",53
133,During tournament Rhaenyra constantly playing Valyrian steel necklace Daemon gave . The book mention one Rhaenyra character tic would play jewelry thinking .,"['During', 'tournament', 'Rhaenyra', 'constantly', 'playing', 'Valyrian', 'steel', 'necklace', 'Daemon', 'gave', '.', 'The', 'book', 'mention', 'one', 'Rhaenyra', 'character', 'tic', 'would', 'play', 'jewelry', 'thinking', '.']",23
134,Alicent character tic engaging mild self harm biting picking nail however invention TV series .,"['Alicent', 'character', 'tic', 'engaging', 'mild', 'self', 'harm', 'biting', 'picking', 'nail', 'however', 'invention', 'TV', 'series', '.']",15
135,As mentioned dialogue House Cole minor family hereditary steward service House Dondarrion southern border Stormlands Dorne borderland known Dornish Marches . Criston described looking part Dornish however coal black hair pale green eye though implausible given contested region border constantly shifting century .,"['As', 'mentioned', 'dialogue', 'House', 'Cole', 'minor', 'family', 'hereditary', 'steward', 'service', 'House', 'Dondarrion', 'southern', 'border', 'Stormlands', 'Dorne', 'borderland', 'known', 'Dornish', 'Marches', '.', 'Criston', 'described', 'looking', 'part', 'Dornish', 'however', 'coal', 'black', 'hair', 'pale', 'green', 'eye', 'though', 'implausible', 'given', 'contested', 'region', 'border', 'constantly', 'shifting', 'century', '.']",43
136,At tournament Rhaenys Targaryen refers Borros Baratheon cousin Rhaenys mother Jocelyn Baratheon sister Boremund Baratheon seen later swearing scene throne Borros Boremund son making Rhaenys first cousin .,"['At', 'tournament', 'Rhaenys', 'Targaryen', 'refers', 'Borros', 'Baratheon', 'cousin', 'Rhaenys', 'mother', 'Jocelyn', 'Baratheon', 'sister', 'Boremund', 'Baratheon', 'seen', 'later', 'swearing', 'scene', 'throne', 'Borros', 'Boremund', 'son', 'making', 'Rhaenys', 'first', 'cousin', '.']",28
138,At tournament Lord Lyman Beesbury wager five Gold dragon Daemon . This raise point idea relative money value like prequel era stated dialogue invention TV series . The first prequel setting George R.R . Martin wrote Tales Dunk Egg began 90 year main novel established currency value Westeros realistically fluctuate time experiencing inflation deflation . Money value Dunk Egg era four time main novel i.e . Jaime Brienne consider 1 Gold Dragon good price horse Dunk sold horse almost 4 Gold Dragons first novella . In contrast Fire Blood simply give money value Dance Dragons era . Not might inflation play royal coinage could revalued time period adding higher lower ratio gold . By comparison dialogue invented Game Thrones Season 1 book tournament scene Renly Baratheon wagered Petyr Baelish 100 Gold Dragons joust . Like Renly Littlefinger Lyman Beesbury member Small Council probably capable making equivalently large bet necessarily mean know 100 Gold Dragons worth much Renly Beesbury feel like making large bet . More money value come season progress .,"['At', 'tournament', 'Lord', 'Lyman', 'Beesbury', 'wager', 'five', 'Gold', 'dragon', 'Daemon', '.', 'This', 'raise', 'point', 'idea', 'relative', 'money', 'value', 'like', 'prequel', 'era', 'stated', 'dialogue', 'invention', 'TV', 'series', '.', 'The', 'first', 'prequel', 'setting', 'George', 'R.R', '.', 'Martin', 'wrote', 'Tales', 'Dunk', 'Egg', 'began', '90', 'year', 'main', 'novel', 'established', 'currency', 'value', 'Westeros', 'realistically', 'fluctuate', 'time', 'experiencing', 'inflation', 'deflation', '.', 'Money', 'value', 'Dunk', 'Egg', 'era', 'four', 'time', 'main', 'novel', 'i.e', '.', 'Jaime', 'Brienne', 'consider', '1', 'Gold', 'Dragon', 'good', 'price', 'horse', 'Dunk', 'sold', 'horse', 'almost', '4', 'Gold', 'Dragons', 'first', 'novella', '.', 'In', 'contrast', 'Fire', 'Blood', 'simply', 'give', 'money', 'value', 'Dance', 'Dragons', 'era', '.', 'Not', 'might', 'inflation', 'play', 'royal', 'coinage', 'could', 'revalued', 'time', 'period', 'adding', 'higher', 'lower', 'ratio', 'gold', '.', 'By', 'comparison', 'dialogue', 'invented', 'Game', 'Thrones', 'Season', '1', 'book', 'tournament', 'scene', 'Renly', 'Baratheon', 'wagered', 'Petyr', 'Baelish', '100', 'Gold', 'Dragons', 'joust', '.', 'Like', 'Renly', 'Littlefinger', 'Lyman', 'Beesbury', 'member', 'Small', 'Council', 'probably', 'capable', 'making', 'equivalently', 'large', 'bet', 'necessarily', 'mean', 'know', '100', 'Gold', 'Dragons', 'worth', 'much', 'Renly', 'Beesbury', 'feel', 'like', 'making', 'large', 'bet', '.', 'More', 'money', 'value', 'come', 'season', 'progress', '.']",171
140,Aemma Arryn death childbirth mentioned one sentence Fire Blood universe history book Queen Aemma brought bed Maegor Holdfast died whilst giving birth son Viserys Targaryen desired long . The TV series expanded show graphic detail death emergency caesarean section . In July 2022 cover story The Hollywood Reporter 9 well Inside Episode video showrunners said wanted emphasize realistically without gratuitous dangerous childbirth medieval level medical technology . Cast crew elaborated interview Aemma death childbirth meant traumatic hang like cloud Viserys Rhaenyra rest life . Viserys haunted guilt Rhaenyra blame essentially murdering mother impression make defined role woman medieval society supposed drive accept constraint .,"['Aemma', 'Arryn', 'death', 'childbirth', 'mentioned', 'one', 'sentence', 'Fire', 'Blood', 'universe', 'history', 'book', 'Queen', 'Aemma', 'brought', 'bed', 'Maegor', 'Holdfast', 'died', 'whilst', 'giving', 'birth', 'son', 'Viserys', 'Targaryen', 'desired', 'long', '.', 'The', 'TV', 'series', 'expanded', 'show', 'graphic', 'detail', 'death', 'emergency', 'caesarean', 'section', '.', 'In', 'July', '2022', 'cover', 'story', 'The', 'Hollywood', 'Reporter', '9', 'well', 'Inside', 'Episode', 'video', 'showrunners', 'said', 'wanted', 'emphasize', 'realistically', 'without', 'gratuitous', 'dangerous', 'childbirth', 'medieval', 'level', 'medical', 'technology', '.', 'Cast', 'crew', 'elaborated', 'interview', 'Aemma', 'death', 'childbirth', 'meant', 'traumatic', 'hang', 'like', 'cloud', 'Viserys', 'Rhaenyra', 'rest', 'life', '.', 'Viserys', 'haunted', 'guilt', 'Rhaenyra', 'blame', 'essentially', 'murdering', 'mother', 'impression', 'make', 'defined', 'role', 'woman', 'medieval', 'society', 'supposed', 'drive', 'accept', 'constraint', '.']",104
141,Emma D Arcy adult Rhaenyra said For Rhaenyra traumatic event also something defines journey type woman want . She perceives happens mother form abuse ... Her mother loses control . She loses bodily autonomy . And I think Rhaenyra sure hell going let happen . 10,"['Emma', 'D', 'Arcy', 'adult', 'Rhaenyra', 'said', 'For', 'Rhaenyra', 'traumatic', 'event', 'also', 'something', 'defines', 'journey', 'type', 'woman', 'want', '.', 'She', 'perceives', 'happens', 'mother', 'form', 'abuse', '...', 'Her', 'mother', 'loses', 'control', '.', 'She', 'loses', 'bodily', 'autonomy', '.', 'And', 'I', 'think', 'Rhaenyra', 'sure', 'hell', 'going', 'let', 'happen', '.', '10']",46
143,Sapochnik confirmed exact wording line Viserys sometimes father make impossible choice specific intentional idea Queen Aemma get choose fate even though ’ right . King Viserys Grand Maester never think consult powerless decision body . 12,"['Sapochnik', 'confirmed', 'exact', 'wording', 'line', 'Viserys', 'sometimes', 'father', 'make', 'impossible', 'choice', 'specific', 'intentional', 'idea', 'Queen', 'Aemma', 'get', 'choose', 'fate', 'even', 'though', '’', 'right', '.', 'King', 'Viserys', 'Grand', 'Maester', 'never', 'think', 'consult', 'powerless', 'decision', 'body', '.', '12']",36
144,Director Miguel Sapochnik said THR In medieval time giving birth violence . It dangerous get . You 50 50 chance making . We number birth show basically decided give different theme explore different perspective way I bunch battle Thrones . In interview Popsugar Sapochnik elaborated We gave theme birth theme birth torture . Then birth theme agony ecstasy . There birth theme impasse birth theme battle . So trying look different way . 13,"['Director', 'Miguel', 'Sapochnik', 'said', 'THR', 'In', 'medieval', 'time', 'giving', 'birth', 'violence', '.', 'It', 'dangerous', 'get', '.', 'You', '50', '50', 'chance', 'making', '.', 'We', 'number', 'birth', 'show', 'basically', 'decided', 'give', 'different', 'theme', 'explore', 'different', 'perspective', 'way', 'I', 'bunch', 'battle', 'Thrones', '.', 'In', 'interview', 'Popsugar', 'Sapochnik', 'elaborated', 'We', 'gave', 'theme', 'birth', 'theme', 'birth', 'torture', '.', 'Then', 'birth', 'theme', 'agony', 'ecstasy', '.', 'There', 'birth', 'theme', 'impasse', 'birth', 'theme', 'battle', '.', 'So', 'trying', 'look', 'different', 'way', '.', '13']",74
148,Sapochnik ’ goal shy away happening also sensationalize . This resulted painstaking editing process began version began slowly whittling away ... much felt gratuitous repeat beat . Once intercut jousting sequence several shot became redundant cut made .,"['Sapochnik', '’', 'goal', 'shy', 'away', 'happening', 'also', 'sensationalize', '.', 'This', 'resulted', 'painstaking', 'editing', 'process', 'began', 'version', 'began', 'slowly', 'whittling', 'away', '...', 'much', 'felt', 'gratuitous', 'repeat', 'beat', '.', 'Once', 'intercut', 'jousting', 'sequence', 'several', 'shot', 'became', 'redundant', 'cut', 'made', '.']",38
150,Finally showrunners played scene many woman possible get feedback We anxious get wrong . And unanimously feedback positive . Some felt violent enough .,"['Finally', 'showrunners', 'played', 'scene', 'many', 'woman', 'possible', 'get', 'feedback', 'We', 'anxious', 'get', 'wrong', '.', 'And', 'unanimously', 'feedback', 'positive', '.', 'Some', 'felt', 'violent', 'enough', '.']",24
151,George R.R . Martin weighed scene post episode interview Vanity Fair said thought handled well done That scene ... want use word enjoyable scene like incredibly powerful . It visceral rip heart throw floor . It kind impact Red Wedding . It beautifully done scene something horrible . Martin responded accusation gratuitous comparing destruction Alderaan Star Wars I want live book . I want . I want emotion engaged . Those kind novel I love read kind thing I love write . That affect emotionally . I accused particularly bloody person . Star Wars kill people I ... In first Star Wars movie come Death Star . They blow planet Alderaan — 20 million people dead . Note actual death toll 2 billion Does impact Do care 20 million people dead Six movie later find I guess Jimmy Smits one . Then retroactively go Oh killed Jimmy Smits feel anything moment . It Oh okay . It statistic . What would mean Viserys watching tournament messenger come running say Your wife died Is going effect I think . 16,"['George', 'R.R', '.', 'Martin', 'weighed', 'scene', 'post', 'episode', 'interview', 'Vanity', 'Fair', 'said', 'thought', 'handled', 'well', 'done', 'That', 'scene', '...', 'want', 'use', 'word', 'enjoyable', 'scene', 'like', 'incredibly', 'powerful', '.', 'It', 'visceral', 'rip', 'heart', 'throw', 'floor', '.', 'It', 'kind', 'impact', 'Red', 'Wedding', '.', 'It', 'beautifully', 'done', 'scene', 'something', 'horrible', '.', 'Martin', 'responded', 'accusation', 'gratuitous', 'comparing', 'destruction', 'Alderaan', 'Star', 'Wars', 'I', 'want', 'live', 'book', '.', 'I', 'want', '.', 'I', 'want', 'emotion', 'engaged', '.', 'Those', 'kind', 'novel', 'I', 'love', 'read', 'kind', 'thing', 'I', 'love', 'write', '.', 'That', 'affect', 'emotionally', '.', 'I', 'accused', 'particularly', 'bloody', 'person', '.', 'Star', 'Wars', 'kill', 'people', 'I', '...', 'In', 'first', 'Star', 'Wars', 'movie', 'come', 'Death', 'Star', '.', 'They', 'blow', 'planet', 'Alderaan', '—', '20', 'million', 'people', 'dead', '.', 'Note', 'actual', 'death', 'toll', '2', 'billion', 'Does', 'impact', 'Do', 'care', '20', 'million', 'people', 'dead', 'Six', 'movie', 'later', 'find', 'I', 'guess', 'Jimmy', 'Smits', 'one', '.', 'Then', 'retroactively', 'go', 'Oh', 'killed', 'Jimmy', 'Smits', 'feel', 'anything', 'moment', '.', 'It', 'Oh', 'okay', '.', 'It', 'statistic', '.', 'What', 'would', 'mean', 'Viserys', 'watching', 'tournament', 'messenger', 'come', 'running', 'say', 'Your', 'wife', 'died', 'Is', 'going', 'effect', 'I', 'think', '.', '16']",179
