start_hours,start_minutes,start_seconds,end_hours,end_minutes,end_seconds,text
0,13,44,0,13,48,"Cauterization would be a wise
course of treatment, Your Grace."
0,13,48,0,13,49,"- It will be painful...
- Fine."
0,13,51,0,13,52,Fine.
0,14,4,0,14,7,"You spend more time in that
bath than I do on the throne."
0,14,8,0,14,11,"This is the only place I
can find comfort these days."
0,14,13,0,14,15,It's tepid.
0,14,15,0,14,17,It's as warm as the maesters will allow.
0,14,18,0,14,20,Don't they know dragons prefer heat?
0,14,21,0,14,23,After this miserable pregnancy
0,14,24,0,14,27,"I wouldn't be surprised if
I hatched an actual dragon."
0,14,27,0,14,29,And he will be loved and cherished.
0,14,30,0,14,33,"Rhaenyra has already declared
that she is to have a sister."
0,14,33,0,14,34,Really?
0,14,35,0,14,38,"- She even named her.
- Dare I ask?"
0,14,38,0,14,40,Visenya.
0,14,40,0,14,42,She chose a dragon's egg for the cradle
0,14,42,0,14,44,that she said reminded her of Vhagar.
0,14,44,0,14,45,Gods be good.
0,14,45,0,14,47,This family already has its Visenya.
0,14,49,0,14,52,"Has there been any word
from your dear brother?"
0,14,52,0,14,55,"Not since I named him
Commander of the City Watch."
0,14,55,0,14,58,"I'm sure he will
reemerge for the tourney."
0,14,58,0,15,1,He could never stay away from the lists.
0,15,1,0,15,2,The tourney
0,15,2,0,15,5,"to celebrate the firstborn son
that we presently do not have."
0,15,6,0,15,8,You do understand
0,15,8,0,15,10,"nothing will cause
the babe to grow a cock"
0,15,10,0,15,12,if it does not already possess one?
0,15,12,0,15,14,"This child is a boy, Aemma."
0,15,15,0,15,16,I'm certain of it.
0,15,17,0,15,19,"I've never been more
certain of anything."
0,15,23,0,15,24,The dream.
0,15,25,0,15,27,It was clearer than a memory.
0,15,29,0,15,32,"Our son was born wearing
Aegon's iron crown."
0,15,34,0,15,37,"When I heard the sound
of thundering hooves"
0,15,37,0,15,40,"splintering shields, and ringing swords"
0,15,40,0,15,43,"and I placed our son
upon the Iron Throne"
0,15,44,0,15,46,as the bells of the Grand Sept tolled
0,15,46,0,15,49,and all the dragons roared as one.
0,15,52,0,15,54,Born wearing a crown?
0,15,54,0,15,58,"Gods spare me, birth is
unpleasant enough as it is."
0,16,7,0,16,10,"This is the last time, Viserys."
0,16,13,0,16,16,"I've lost one babe in the
cradle, had two stillbirths"
0,16,16,0,16,19,"and two pregnancies ended
well before their term."
0,16,22,0,16,24,That's five in twice as many years.
0,16,26,0,16,29,"I know it is my duty
to provide you an heir"
0,16,29,0,16,31,"and I'm sorry if I
have failed you in that."
0,16,31,0,16,32,I am.
0,16,36,0,16,39,"But I've mourned all
the dead children I can."
0,16,59,0,17,1,Commander on the floor!
0,17,7,0,17,11,"When I took command of the
Watch, you were stray mongrels"
0,17,12,0,17,14,starving and undisciplined.
0,17,16,0,17,19,"Now, you're a pack of hounds."
0,17,20,0,17,22,You're sated and honed for the hunt.
0,17,26,0,17,29,"My brother's city has
fallen into squalor."
0,17,30,0,17,33,"Crime of every breed has
been allowed to thrive."
0,17,35,0,17,36,No longer.
0,17,36,0,17,37,Beginning tonight
0,17,38,0,17,40,"King's Landing will learn
to fear the color gold."
0,18,25,0,18,26,Get up!
0,18,45,0,18,46,Raper!
0,18,48,0,18,52,No! No... no!
0,18,59,0,19,0,Thief!
0,19,1,0,19,2,No!
0,19,8,0,19,9,Murderer!
0,19,25,0,19,28,"It was an unprecedented roundup
of criminals of every ilk."
0,19,28,0,19,30,Your brother made a public show of it
0,19,30,0,19,33,"meting out the summary
judgments himself."
0,19,33,0,19,35,I'm told they needed a two-horse cart
0,19,36,0,19,39,"to haul away the resulting
dismemberments when it was done."
0,19,39,0,19,41,Gods be good.
0,19,41,0,19,43,The Prince cannot be allowed
0,19,43,0,19,46,"to act with this kind
of unchecked impunity."
0,19,48,0,19,50,"- Brother.
- Daemon."
0,19,52,0,19,54,"Carry on. You were saying
something about my impunity."
0,19,57,0,20,0,"You are to explain your
doings with the City Watch."
0,20,3,0,20,4,Your new gold cloaks
0,20,4,0,20,6,"made quite the impression
last night, didn't they?"
0,20,6,0,20,7,Did they?
0,20,7,0,20,10,"The City Watch is not a sword
to be wielded at your whim."
0,20,10,0,20,12,They're an extension of the crown.
0,20,12,0,20,14,"The Watch was enforcing
the crown's laws."
0,20,14,0,20,16,"Wouldn't you agree, Lord Strong?"
0,20,17,0,20,18,"My Prince, I don't think..."
0,20,18,0,20,21,"Making a public spectacle
of wanton brutality"
0,20,21,0,20,23,is hardly in line with our laws.
0,20,23,0,20,24,Nobles from every corner of the realm
0,20,24,0,20,26,"are right now descending
upon King's Landing"
0,20,26,0,20,28,for my brother's tourney.
0,20,28,0,20,30,"Do you want them
mugged, raped, murdered?"
0,20,30,0,20,33,"You mightn't know this unless you
left the safety of the Red Keep"
0,20,33,0,20,35,"but much of King's Landing
is seen by the smallfolk"
0,20,35,0,20,38,as lawless and terrifying.
0,20,40,0,20,43,"Our city should be
safe for all its people."
0,20,43,0,20,44,I agree.
0,20,45,0,20,49,"I just hope you don't have to maim
half of my city to achieve this."
0,20,49,0,20,50,Time will tell.
0,20,53,0,20,55,We installed Prince Daemon as commander
0,20,55,0,20,57,to promote law and order.
0,20,57,0,20,59,"The criminal element
should fear the City Watch."
0,20,59,0,21,1,"Thank you for your support, Lord Corlys."
0,21,1,0,21,3,"If only the Prince would
show the same devotion"
0,21,3,0,21,5,"to his lady wife as he
does his work, Your Grace."
0,21,6,0,21,9,"You've not been seen in the Vale
or at Runestone for quite some time."
0,21,9,0,21,11,"I think my bronze bitch
is happier for my absence."
0,21,11,0,21,13,Lady Rhea is your wife.
0,21,13,0,21,15,A good and honorable lady of the Vale.
0,21,15,0,21,18,"In the Vale, men are said to
fuck sheep instead of women."
0,21,18,0,21,20,"I can assure you, the
sheep are prettier."
0,21,20,0,21,21,Dear me.
0,21,21,0,21,24,"You made a vow before the Seven
to honor your wife in marriage."
0,21,24,0,21,27,"Well, I'd gladly give Lady
Rhea to you, Lord Hightower"
0,21,27,0,21,30,"if you're in want of a
woman to warm your bed."
0,21,30,0,21,32,Your own lady wife passed recently.
0,21,34,0,21,36,Did she not?
0,21,36,0,21,37,Otto.
0,21,40,0,21,42,"Perhaps you aren't ready
to move on just yet."
0,21,43,0,21,46,"You know how my brother
makes sport of provoking you."
0,21,46,0,21,48,Must you indulge him?
0,21,52,0,21,54,"My apologies, Your Grace."
0,21,54,0,21,57,"This council has, at great expense"
0,21,57,0,21,59,"bettered the City Watch
to your exacting standards."
0,22,0,0,22,2,"Enforce my laws, but understand"
0,22,3,0,22,6,"any further performances like
last night's will be answered."
0,22,10,0,22,12,"Understood, Your Grace."
0,22,25,0,22,27,"King's Landing has been in decline
since my grandmother passed."
0,22,28,0,22,29,In the end
0,22,30,0,22,33,"this new City Watch
might be a good thing."
0,23,18,0,23,20,"What troubles you, my Prince?"
0,23,26,0,23,27,I could bring in another.
0,23,28,0,23,30,Perhaps a maiden.
0,23,31,0,23,32,I have several.
0,23,34,0,23,36,"I could even arrange
one with silver hair."
0,23,43,0,23,45,You are Daemon Targaryen.
0,23,45,0,23,48,"Rider of Caraxes.
Wielder of Dark Sister."
0,23,49,0,23,51,The King cannot replace you.
0,24,4,0,24,5,Be welcome!
0,24,6,0,24,8,"I know many of you have
traveled long leagues"
0,24,8,0,24,10,to be at these games
0,24,11,0,24,14,"but I promise, you will
not be disappointed."
0,24,15,0,24,18,"When I look at the fine
knights in these lists"
0,24,18,0,24,22,"I see a group without
equal in our histories."
0,24,23,0,24,28,"And this great day has
been made more auspicious"
0,24,28,0,24,32,by the news that I am happy to share.
0,24,32,0,24,35,Queen Aemma has begun her labors!
0,24,39,0,24,42,"May the luck of the Seven
shine upon all combatants!"
0,25,14,0,25,15,A mystery knight?
0,25,15,0,25,18,"No, a Cole, of the Storm lands."
0,25,18,0,25,19,I've never heard of House Cole.
0,25,19,0,25,22,Princess Rhaenys Targaryen!
0,25,22,0,25,26,"I would humbly ask for the
favor of The Queen Who Never Was."
0,25,32,0,25,33,"Good fortune to you, cousin."
0,25,33,0,25,36,"I would gladly take it
if I thought I needed it."
0,25,42,0,25,45,"You could have Baratheon's
tongue for that."
0,25,45,0,25,47,Tongues will not change the succession.
0,25,47,0,25,49,Let them wag.
0,25,55,0,25,56,Lord Stokeworth's daughter
0,25,56,0,25,58,is promised to that young Tarly squire.
0,25,58,0,26,0,Lord Massey's son?
0,26,0,0,26,2,"They're to be married as soon
as he wins his knighthood."
0,26,3,0,26,4,Best get on with it.
0,26,5,0,26,6,I heard that Lady Elinor
0,26,6,0,26,8,"is hiding a swollen
belly beneath her dress."
0,26,30,0,26,33,"What do you know about this
Ser Criston Cole, Ser Harrold?"
0,26,33,0,26,36,"I'm told Ser Criston is common-born,
son of Lord Dondarrion's steward."
0,26,36,0,26,39,"But other than that, and the
fact that he's just unhorsed"
0,26,39,0,26,42,"both of the Baratheon
lads, I really couldn't say."
0,27,0,0,27,4,Prince Daemon of House Targaryen!
0,27,4,0,27,9,"Prince of the City will now
choose his first opponent!"
0,27,45,0,27,50,"For his first challenge,
Prince Daemon Targaryen chooses"
0,27,50,0,27,55,"Ser Gwayne Hightower of Oldtown,
eldest son of the Hand of the King."
0,28,7,0,28,10,Five dragons on Daemon.
0,29,20,0,29,23,"- Nicely done, Uncle.
- Thank you, Princess."
0,29,24,0,29,27,"Now, I'm fairly certain I can
win these games, Lady Alicent."
0,29,27,0,29,31,"Having your favor
would all but assure it."
0,29,44,0,29,46,"Good luck, my Prince."
0,30,13,0,30,14,What's happening?
0,30,14,0,30,15,"The infant is in breech, Your Grace."
0,30,15,0,30,18,"All attempts to turn
the babe have failed."
0,30,20,0,30,21,Do something for her!
0,30,21,0,30,23,"We've given her as much
milk of the poppy as we can"
0,30,23,0,30,24,without risking the child.
0,30,24,0,30,26,Your Queen is a strong woman.
0,30,26,0,30,29,"She's fighting with all her
might, but it may not be enough."
0,30,30,0,30,31,No!
0,30,31,0,30,32,Aemma.
0,30,34,0,30,36,"Aemma, I'm here."
0,30,36,0,30,37,I'm here.
0,30,38,0,30,40,I'm here. It's all right.
0,30,40,0,30,42,"- It's all right.
- I don't wanna do this."
0,30,42,0,30,46,You're going to be all right.
0,31,10,0,31,11,Kill him!
0,31,11,0,31,13,And the day grows ugly.
0,31,17,0,31,19,"I wonder if this is
how we should celebrate"
0,31,19,0,31,21,the birth of our future king.
0,31,22,0,31,23,With wanton violence.
0,31,23,0,31,25,"It's been 70 years
since King Maegor's end."
0,31,25,0,31,27,"These knights are as
green as summer grass."
0,31,27,0,31,29,None have known real war.
0,31,30,0,31,31,"Their lords sent them
to the tourney field"
0,31,31,0,31,34,"with fists full of steel
and balls full of seed"
0,31,34,0,31,36,"and we expect them to
act with honor and grace."
0,31,37,0,31,39,"It's a marvel that war didn't
break out at first blood."
0,32,1,0,32,2,Mellos.
0,32,3,0,32,5,Your Grace.
0,32,6,0,32,7,If you would.
0,32,17,0,32,18,During a difficult birth
0,32,18,0,32,23,"it sometimes becomes
necessary for the father"
0,32,23,0,32,25,to make an impossible choice.
0,32,27,0,32,28,"Well, speak it."
0,32,28,0,32,32,To sacrifice one or to lose them both.
0,32,34,0,32,37,"There is a chance that
we can save the child."
0,32,37,0,32,39,A technique is taught at the Citadel
0,32,39,0,32,41,"which involves cutting
directly into the womb"
0,32,41,0,32,43,to free the infant.
0,32,43,0,32,46,"- But the resulting blood loss...
- Seven Hells, Mellos."
0,32,57,0,32,59,You can save the child?
0,33,0,0,33,3,"We must either act now
or leave it with the gods."
0,33,15,0,33,17,Ser Criston Cole will now tilt
0,33,17,0,33,21,"against Ser Daemon
Targaryen, Prince of the City!"
0,34,30,0,34,32,"- Viserys.
- Yes?"
0,34,34,0,34,36,They're going to bring the babe out now.
0,34,59,0,35,0,I love you.
0,35,8,0,35,10,"- What is happening?
- No, it's all right."
0,35,10,0,35,13,"No, what is happening?"
0,35,13,0,35,15,"- Viserys, what...
- No, it's all right."
0,35,15,0,35,17,"- What are you doing?
- They're going to bring the babe out."
0,35,17,0,35,18,How are they...
0,35,18,0,35,20,"- It's all right.
- Viserys, please..."
0,35,20,0,35,22,"- It's all right.
- No, I'm scared."
0,35,22,0,35,23,"- Don't be scared.
- What is happening?"
0,35,23,0,35,25,"Don't be scared. They're
going to bring the babe out."
0,35,25,0,35,28,"- Oh no.
- It's all right."
0,35,28,0,35,29,They're going to bring the babe out.
0,35,31,0,35,33,No... no!
0,35,33,0,35,35,I'm making the first incision.
0,35,36,0,35,38,No... no!
0,35,38,0,35,41,"Viserys, no! Please!"
0,35,41,0,35,43,"- No... no!
- Don't be scared."
0,36,6,0,36,7,Sword!
0,36,7,0,36,9,Prince Daemon Targaryen
0,36,9,0,36,12,wishes to continue in a contest of arms!
0,37,58,0,37,59,Yield.
0,38,1,0,38,2,Yield.
0,38,34,0,38,36,Gods. He's Dornish.
0,38,36,0,38,39,"I was hoping to ask for
the Princess's favor."
0,38,51,0,38,53,"I wish you luck, Ser Criston."
0,38,53,0,38,55,Princess.
0,39,5,0,39,7,"Congratulations, Your Grace."
0,39,8,0,39,9,You have a son.
0,39,13,0,39,15,It's a boy?
0,39,15,0,39,17,"A new heir, Your Grace."
0,39,23,0,39,25,Had you and the Queen chosen a name?
0,39,28,0,39,30,Baelon.
0,40,44,0,40,46,They're waiting for you.
0,40,54,0,40,58,_
0,40,58,0,41,1,_
0,41,2,0,41,4,_
0,41,4,0,41,8,_
0,41,8,0,41,10,_
0,41,23,0,41,25,Dr...
0,41,40,0,41,41,Dracarys.
0,42,19,0,42,20,"- Where's Rhaenyra?
- Your Grace."
0,42,20,0,42,23,"This is the last thing
any of us wish to discuss"
0,42,23,0,42,26,"at this dark hour, but I
consider the matter urgent."
0,42,26,0,42,27,What matter?
0,42,29,0,42,30,That of your succession.
0,42,31,0,42,32,These recent tragedies
0,42,32,0,42,34,have left you without an obvious heir.
0,42,34,0,42,36,"The King has an heir, my Lord Hand."
0,42,36,0,42,38,"Despite how difficult
this time is, Your Grace"
0,42,38,0,42,41,"I feel it important the
succession be firmly in place"
0,42,41,0,42,43,for the stability of the realm.
0,42,43,0,42,47,"The succession is already
set by precedent and by law."
0,42,47,0,42,48,Shall we say his name?
0,42,51,0,42,52,Daemon Targaryen.
0,42,52,0,42,55,"If Daemon were to remain
the uncontested heir"
0,42,55,0,42,57,it could destabilize the realm.
0,42,58,0,42,59,The realm? Or this council?
0,42,59,0,43,2,"No one here can know what
Daemon would do were he king"
0,43,2,0,43,5,but no one can doubt his ambition.
0,43,5,0,43,7,"Look at what he did
with the gold cloaks."
0,43,7,0,43,9,The City Watch is fiercely loyal to him.
0,43,9,0,43,13,"- An army 2,000 strong.
- An army you gave him, Otto."
0,43,13,0,43,17,"I named Daemon Master of Laws,
but you said he was a tyrant."
0,43,17,0,43,18,As Master of Coin
0,43,18,0,43,21,"you said he was a spendthrift
that would beggar the realm."
0,43,21,0,43,25,"Putting Daemon in command of
the City Watch was your solution!"
0,43,25,0,43,27,"A half-measure, Your Grace."
0,43,27,0,43,30,"The truth is, Daemon should
be far away from this court."
0,43,30,0,43,32,Daemon is my brother.
0,43,32,0,43,33,My blood.
0,43,34,0,43,36,And he will have his place at my court.
0,43,36,0,43,38,"Let him keep his place
at court, Your Grace"
0,43,38,0,43,42,"but if the gods should visit
some further tragedy on you"
0,43,42,0,43,45,"- either by design or accident...
- ""Design""?"
0,43,46,0,43,47,What are you saying?
0,43,47,0,43,49,"My brother would murder
me, take my crown?"
0,43,51,0,43,52,Are you?
0,43,54,0,43,55,Please.
0,43,56,0,43,59,"Daemon has ambition, yes,
but not for the throne."
0,43,59,0,44,1,He lacks the patience for it.
0,44,1,0,44,3,The gods have yet to make a man
0,44,3,0,44,6,"who lacks the patience for
absolute power, Your Grace."
0,44,6,0,44,10,"Under such circumstances,
it would not be an aberration"
0,44,10,0,44,12,for the King to name a successor.
0,44,12,0,44,14,"Well, who else would have a claim?"
0,44,20,0,44,22,The King's firstborn child.
0,44,23,0,44,25,Rhaenyra? A girl?
0,44,26,0,44,28,No queen has ever sat the Iron Throne.
0,44,28,0,44,30,"That is only by tradition
and precedent, Lord Strong."
0,44,30,0,44,33,"If order and stability
so concerns this council"
0,44,33,0,44,35,"then perhaps we shouldn't
break 100 years of it"
0,44,35,0,44,36,by naming a girl heir.
0,44,36,0,44,40,"Daemon would be a
second Maegor, or worse."
0,44,40,0,44,43,He is impulsive and violent.
0,44,43,0,44,44,It is the duty of this council
0,44,44,0,44,47,"to protect the King
and the realm from him."
0,44,49,0,44,51,"I'm sorry, Your Grace, but
that is the truth as I see it"
0,44,51,0,44,53,and I know that others here agree.
0,44,53,0,44,56,"I will not be made to choose
between my brother and my daughter."
0,44,57,0,44,58,"You wouldn't have to, Your Grace."
0,44,58,0,45,1,There are others who would have a claim.
0,45,1,0,45,2,"Such as your wife, Lord Corlys?"
0,45,2,0,45,5,"- The Queen Who Never Was?
- Rhaenys was the only child"
0,45,5,0,45,6,of Jaehaerys' eldest son.
0,45,6,0,45,8,"She had a strong claim
at the Great Council"
0,45,8,0,45,9,and she already has a male heir.
0,45,9,0,45,12,"Just moments ago, you announced
your support for Daemon!"
0,45,12,0,45,14,"If we cannot agree on an
heir, then how can we expect..."
0,45,14,0,45,16,My wife and son are dead!
0,45,18,0,45,20,I will not sit here and suffer crows
0,45,20,0,45,23,that come to feast on their corpses!
0,45,55,0,45,57,Send a raven to Oldtown. Straight away.
0,46,0,0,46,2,My Lady.
0,46,12,0,46,13,My darling.
0,46,22,0,46,23,How's Rhaenyra?
0,46,26,0,46,28,She lost her mother.
0,46,29,0,46,31,The Queen was well-loved by all.
